T,TEMP1,TEMP2,TEMP3,LOAD,PRESSURE,VALVE
40.1,20.57,19.98,-273.15,-0.11,1.00,0
40.2,20.57,20.28,-18.58,-0.10,0.96,0
40.3,20.28,20.57,-273.15,-0.11,1.00,0
40.4,20.57,21.44,-273.15,-0.11,0.96,0
40.5,20.28,20.28,8.88,-0.11,0.96,0
40.6,20.57,19.98,-273.15,-0.11,0.96,0
40.7,20.28,21.44,-15.78,-0.10,0.96,0
40.8,20.28,20.28,-2.65,-0.10,1.00,0
40.9,20.57,19.98,-273.15,-0.10,0.96,0
41.0,20.28,20.28,-1.28,-0.11,0.96,0
41.0,20.28,19.98,-273.15,-0.10,0.96,0
41.1,19.38,20.28,-20.15,-0.10,0.96,0
41.2,20.28,19.98,-14.51,-0.10,0.96,0
41.3,19.98,20.57,-273.15,-0.10,0.96,0
41.4,20.57,19.68,-8.22,-0.10,1.04,0
41.5,20.57,20.57,-273.15,-0.11,0.96,0
41.6,20.28,20.57,-20.15,-0.10,0.96,0
41.7,19.68,20.57,-13.32,-0.11,0.96,0
41.8,20.57,20.57,-273.15,-0.11,1.00,0
41.9,20.57,19.68,-8.22,-0.10,1.00,0
42.0,19.98,20.28,-273.15,-0.10,0.96,0
42.1,20.28,21.44,-43.90,-0.10,1.00,0
42.2,20.86,20.28,-273.15,-0.10,0.96,0
42.3,20.57,20.57,-10.11,-0.11,1.00,0
42.3,20.57,20.57,-273.15,-0.11,1.00,0
42.4,20.86,20.57,7.52,-0.10,1.00,0
42.5,19.98,19.98,-9.15,-0.10,1.00,0
42.6,20.28,20.57,7.98,-0.10,0.96,0
42.7,20.28,19.98,-273.15,-0.10,1.04,0
42.8,20.28,20.28,-18.58,-0.09,0.96,1
42.9,20.28,20.57,-273.15,-0.09,0.96,1
43.0,20.28,19.68,-273.15,-0.09,1.00,1
43.1,20.57,21.15,7.52,-0.09,0.96,1
43.2,20.28,20.28,-273.15,-0.09,1.00,1
43.3,20.57,19.98,-10.11,-0.09,1.00,1
43.4,20.57,20.28,1.83,-0.08,0.96,1
